LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.5747338533401489, 0.2651429772377014]","[0.47368699312210083, 0.2860843241214752]","[0.5410338640213013, 0.7118842601776123]","[0.473749577999115, 0.7095531225204468]","[0.4866544306278229, 0.5384204387664795]","[0.5808193683624268, 0.5231255292892456]"
"[0.5749030709266663, 0.2652294635772705]","[0.4739374816417694, 0.28686943650245667]","[0.5415025353431702, 0.7118909358978271]","[0.47351208329200745, 0.7097876667976379]","[0.48615801334381104, 0.5365495085716248]","[0.5810145735740662, 0.523260772228241]"
"[0.5749884247779846, 0.26524147391319275]","[0.475118488073349, 0.2872251868247986]","[0.5415170192718506, 0.7117489576339722]","[0.47344017028808594, 0.7097718715667725]","[0.48357874155044556, 0.5215383768081665]","[0.5810850858688354, 0.5235500335693359]"
"[0.5749914646148682, 0.2653486132621765]","[0.47602641582489014, 0.28724193572998047]","[0.5413148403167725, 0.7117398977279663]","[0.47308123111724854, 0.7100614905357361]","[0.4832763373851776, 0.5066394209861755]","[0.5811998844146729, 0.5248827338218689]"
"[0.5752421021461487, 0.2654406726360321]","[0.4762432873249054, 0.2875170111656189]","[0.5412368774414062, 0.7118729948997498]","[0.47261175513267517, 0.7105016708374023]","[0.48270654678344727, 0.4892766773700714]","[0.5817615389823914, 0.5274444222450256]"
"[0.575428307056427, 0.2655138671398163]","[0.4778890609741211, 0.2880673408508301]","[0.5405743718147278, 0.7120059728622437]","[0.47209951281547546, 0.7108741402626038]","[0.4832898676395416, 0.4703423082828522]","[0.5821966528892517, 0.5304133296012878]"
"[0.5756210088729858, 0.26555395126342773]","[0.47824427485466003, 0.2878161072731018]","[0.5397603511810303, 0.7112394571304321]","[0.47202175855636597, 0.7097830176353455]","[0.48387381434440613, 0.4573691189289093]","[0.5819584727287292, 0.5323998332023621]"
"[0.5762186646461487, 0.26606714725494385]","[0.47764840722084045, 0.29069551825523376]","[0.5397025346755981, 0.7113624811172485]","[0.47207143902778625, 0.7098813056945801]","[0.4844004511833191, 0.434929758310318]","[0.5817832350730896, 0.5346058011054993]"
"[0.576697051525116, 0.26625174283981323]","[0.476921409368515, 0.29168134927749634]","[0.5396824479103088, 0.7117573022842407]","[0.47226276993751526, 0.7102898955345154]","[0.48435601592063904, 0.4187897741794586]","[0.581189751625061, 0.5359681248664856]"
"[0.5767608880996704, 0.26636233925819397]","[0.4744991958141327, 0.2929374575614929]","[0.5396401882171631, 0.7120433449745178]","[0.4723673462867737, 0.711120069026947]","[0.4851023256778717, 0.41159117221832275]","[0.580662727355957, 0.5366439819335938]"
"[0.5767974853515625, 0.266523540019989]","[0.4734707772731781, 0.29450318217277527]","[0.5396431684494019, 0.7123042345046997]","[0.4725338816642761, 0.7121744751930237]","[0.4856463074684143, 0.41011837124824524]","[0.5801330804824829, 0.5371090173721313]"
"[0.5767713785171509, 0.26692017912864685]","[0.4722265601158142, 0.2944626808166504]","[0.5396602749824524, 0.713134229183197]","[0.4725395441055298, 0.7136608958244324]","[0.48573383688926697, 0.39808186888694763]","[0.5789733529090881, 0.5373304486274719]"
"[0.5766188502311707, 0.26697465777397156]","[0.4705086648464203, 0.29312992095947266]","[0.5396551489830017, 0.7131105065345764]","[0.47221896052360535, 0.7136497497558594]","[0.48579028248786926, 0.38960447907447815]","[0.5782181024551392, 0.5372712016105652]"
"[0.5763000249862671, 0.26699405908584595]","[0.47063297033309937, 0.2918246388435364]","[0.5389637351036072, 0.7133246064186096]","[0.47220417857170105, 0.7137775421142578]","[0.4864112138748169, 0.38046345114707947]","[0.5769578814506531, 0.5372394919395447]"
"[0.5754586458206177, 0.2671802043914795]","[0.47176554799079895, 0.2902173399925232]","[0.5374067425727844, 0.7139527201652527]","[0.47233980894088745, 0.713898241519928]","[0.4883761703968048, 0.3697010576725006]","[0.575387716293335, 0.5371659994125366]"
