LeftShoulder,RightShoulder,LeftHip,RightHip,Wrist,Elbow 
"[0.573556661605835, 0.26037901639938354]","[0.47936585545539856, 0.2907169461250305]","[0.5380317568778992, 0.7259023785591125]","[0.4765855371952057, 0.7239211201667786]","[0.48654845356941223, 0.584770143032074]","[0.5814737677574158, 0.5112529397010803]"
"[0.5735500454902649, 0.25995561480522156]","[0.4793304204940796, 0.2902357876300812]","[0.5378440618515015, 0.7260788679122925]","[0.4764271676540375, 0.7239177823066711]","[0.4899900257587433, 0.6005218625068665]","[0.5813467502593994, 0.5084629058837891]"
"[0.5735295414924622, 0.2599537670612335]","[0.4792836606502533, 0.29010966420173645]","[0.5376024842262268, 0.7272651195526123]","[0.4764375686645508, 0.7242395877838135]","[0.4911576509475708, 0.6171286106109619]","[0.5810168385505676, 0.5084801912307739]"
"[0.5735762715339661, 0.25998228788375854]","[0.47832852602005005, 0.2902509868144989]","[0.5375959873199463, 0.7275874614715576]","[0.4762338697910309, 0.7242308855056763]","[0.4966640770435333, 0.6330202221870422]","[0.5803108811378479, 0.5081925392150879]"
"[0.5736159682273865, 0.26000604033470154]","[0.47769567370414734, 0.29035159945487976]","[0.5375925302505493, 0.7279075980186462]","[0.47604840993881226, 0.7242249846458435]","[0.4990619122982025, 0.6355473399162292]","[0.5798081159591675, 0.5079901814460754]"
"[0.5736599564552307, 0.26000267267227173]","[0.47689396142959595, 0.29032522439956665]","[0.5377913117408752, 0.7277785539627075]","[0.4755362272262573, 0.7233979105949402]","[0.5041787028312683, 0.6464837789535522]","[0.5795611143112183, 0.5076779127120972]"
"[0.5736491084098816, 0.2600095570087433]","[0.47571757435798645, 0.2893960475921631]","[0.5378053188323975, 0.7276667952537537]","[0.47401243448257446, 0.7220500707626343]","[0.5068228244781494, 0.6574178338050842]","[0.5794292092323303, 0.507818877696991]"
"[0.5736468434333801, 0.2602511942386627]","[0.47502514719963074, 0.289079487323761]","[0.5379137396812439, 0.7270100712776184]","[0.4732733964920044, 0.7198264598846436]","[0.5108413100242615, 0.6672400236129761]","[0.5786359906196594, 0.508100688457489]"
"[0.5735984444618225, 0.2602715790271759]","[0.4742717444896698, 0.2887236475944519]","[0.5379696488380432, 0.7262199521064758]","[0.4723329246044159, 0.7187163233757019]","[0.5161497592926025, 0.6805750727653503]","[0.5781816840171814, 0.508224368095398]"
"[0.5735937356948853, 0.2606152594089508]","[0.47411930561065674, 0.28869128227233887]","[0.5387439131736755, 0.7267341613769531]","[0.47246626019477844, 0.7194502949714661]","[0.5187064409255981, 0.7036101818084717]","[0.5746362209320068, 0.5086254477500916]"
"[0.573610246181488, 0.2609484791755676]","[0.4742206633090973, 0.2885914742946625]","[0.5394564270973206, 0.727776050567627]","[0.4728296995162964, 0.7200776934623718]","[0.5223928689956665, 0.7156086564064026]","[0.5723300576210022, 0.5089097023010254]"
"[0.5735883712768555, 0.2613983750343323]","[0.4745066463947296, 0.28857502341270447]","[0.5402413606643677, 0.7331616878509521]","[0.4740647077560425, 0.7242893576622009]","[0.5253345370292664, 0.7276469469070435]","[0.5708337426185608, 0.5117628574371338]"
"[0.5730952024459839, 0.2613958418369293]","[0.4747144281864166, 0.28854241967201233]","[0.5397108793258667, 0.7344313859939575]","[0.4740544259548187, 0.7254724502563477]","[0.5283221006393433, 0.7387773394584656]","[0.5699397325515747, 0.512363612651825]"
"[0.5729703903198242, 0.26114609837532043]","[0.47487184405326843, 0.2884136438369751]","[0.5397045612335205, 0.734503984451294]","[0.4741525650024414, 0.7256703972816467]","[0.5324642062187195, 0.7406725883483887]","[0.5697993636131287, 0.5118317008018494]"
"[0.5728862285614014, 0.2609146535396576]","[0.4749738574028015, 0.28833502531051636]","[0.5396860241889954, 0.734538197517395]","[0.47419092059135437, 0.7258108854293823]","[0.5337927341461182, 0.7408720254898071]","[0.5696979761123657, 0.5112931132316589]"
"[0.5727730393409729, 0.26036426424980164]","[0.47529709339141846, 0.2881270945072174]","[0.5396773815155029, 0.7334728837013245]","[0.4743715822696686, 0.7254207134246826]","[0.5381787419319153, 0.7419061660766602]","[0.5698413252830505, 0.509279191493988]"
"[0.5726295113563538, 0.26032495498657227]","[0.4755972623825073, 0.2881242334842682]","[0.5393677353858948, 0.7334222793579102]","[0.4743805229663849, 0.7257132530212402]","[0.5429023504257202, 0.7494845986366272]","[0.569928765296936, 0.5092422366142273]"
"[0.5724770426750183, 0.26028934121131897]","[0.4757346212863922, 0.28831401467323303]","[0.5393709540367126, 0.7333507537841797]","[0.47465792298316956, 0.7257955074310303]","[0.5468087792396545, 0.7547737956047058]","[0.5696930289268494, 0.5092359781265259]"
"[0.5724390745162964, 0.260269433259964]","[0.47577419877052307, 0.2883733808994293]","[0.5389248132705688, 0.7332376837730408]","[0.47485288977622986, 0.7258002758026123]","[0.5499200820922852, 0.7548885941505432]","[0.5694700479507446, 0.5093084573745728]"
"[0.5724301934242249, 0.26013368368148804]","[0.4758172929286957, 0.2884538471698761]","[0.5389441251754761, 0.732955813407898]","[0.47517141699790955, 0.7258040308952332]","[0.5531236529350281, 0.7579360604286194]","[0.5693082213401794, 0.5093187093734741]"
"[0.5724435448646545, 0.2601277530193329]","[0.47567218542099, 0.28875693678855896]","[0.5389248132705688, 0.732906699180603]","[0.4751788377761841, 0.7259067893028259]","[0.5553461909294128, 0.7614904046058655]","[0.5693170428276062, 0.5098341703414917]"
"[0.5724401473999023, 0.26011329889297485]","[0.47504422068595886, 0.28901001811027527]","[0.538354754447937, 0.7328169941902161]","[0.47489607334136963, 0.7259902358055115]","[0.5577470660209656, 0.7631494998931885]","[0.5693359971046448, 0.5100787281990051]"
"[0.5724331140518188, 0.26009854674339294]","[0.4745209515094757, 0.28917068243026733]","[0.5378513336181641, 0.732494592666626]","[0.4746987521648407, 0.7260260581970215]","[0.5583465099334717, 0.76282799243927]","[0.5694063901901245, 0.5100867748260498]"
"[0.5724025368690491, 0.2600852847099304]","[0.4741365313529968, 0.28922730684280396]","[0.5375048518180847, 0.7322672009468079]","[0.4745573401451111, 0.7260744571685791]","[0.5586166381835938, 0.7627289295196533]","[0.5694611072540283, 0.510093629360199]"
"[0.5723488330841064, 0.26008370518684387]","[0.4741550385951996, 0.28923073410987854]","[0.5373973250389099, 0.732219398021698]","[0.4745873808860779, 0.7262076735496521]","[0.5578671097755432, 0.7627848982810974]","[0.569473385810852, 0.5103293061256409]"
"[0.5723442435264587, 0.2601076662540436]","[0.47446781396865845, 0.2892736792564392]","[0.5373860001564026, 0.7321804165840149]","[0.47486358880996704, 0.7262341976165771]","[0.556833028793335, 0.761928379535675]","[0.5694746375083923, 0.5110122561454773]"
"[0.5723400115966797, 0.26045912504196167]","[0.4744742512702942, 0.289288192987442]","[0.5372359156608582, 0.7321997284889221]","[0.4748181998729706, 0.7262572050094604]","[0.5558420419692993, 0.7617299556732178]","[0.5694910883903503, 0.513105034828186]"
"[0.5720407366752625, 0.2604767680168152]","[0.47448623180389404, 0.2887990474700928]","[0.5361341238021851, 0.732105553150177]","[0.4740055203437805, 0.7261115312576294]","[0.5497106909751892, 0.7576782703399658]","[0.5696286559104919, 0.5130437016487122]"
"[0.5719577074050903, 0.2606903612613678]","[0.47453585267066956, 0.2884693145751953]","[0.5361700057983398, 0.7332376837730408]","[0.4737009108066559, 0.7262669801712036]","[0.5415859818458557, 0.7510389089584351]","[0.5697603225708008, 0.5132392644882202]"
"[0.5719667673110962, 0.2608264684677124]","[0.4745963215827942, 0.2882317900657654]","[0.5369170308113098, 0.7332562804222107]","[0.4737318754196167, 0.7262460589408875]","[0.5337362885475159, 0.7379230260848999]","[0.5697717666625977, 0.513199508190155]"
"[0.5719837546348572, 0.2608563303947449]","[0.4745994806289673, 0.28779929876327515]","[0.537207305431366, 0.7328163385391235]","[0.47373664379119873, 0.7257465124130249]","[0.5266174077987671, 0.7238324880599976]","[0.5697868466377258, 0.5131959915161133]"
"[0.5719757080078125, 0.2608584761619568]","[0.4742938280105591, 0.28753402829170227]","[0.5370866060256958, 0.7327077388763428]","[0.47315385937690735, 0.7251843810081482]","[0.5211194157600403, 0.7077282667160034]","[0.570126473903656, 0.5125901103019714]"
"[0.5719738602638245, 0.26035749912261963]","[0.47415226697921753, 0.28627899289131165]","[0.5367501378059387, 0.7250286340713501]","[0.471969336271286, 0.7163710594177246]","[0.5186113715171814, 0.6856547594070435]","[0.5717858076095581, 0.5094310641288757]"
"[0.5719720721244812, 0.259774386882782]","[0.4741192162036896, 0.2856118977069855]","[0.5367408990859985, 0.7216812372207642]","[0.4717135727405548, 0.7140750885009766]","[0.5123499035835266, 0.6639144420623779]","[0.5736718773841858, 0.5067944526672363]"
"[0.5719659924507141, 0.2594600319862366]","[0.474133163690567, 0.2856979966163635]","[0.53610759973526, 0.7220159769058228]","[0.4717763662338257, 0.714564323425293]","[0.5060703754425049, 0.6499394774436951]","[0.5755065679550171, 0.5059031248092651]"
"[0.5718929767608643, 0.2592935264110565]","[0.4742393493652344, 0.2854440212249756]","[0.5356072187423706, 0.7222785949707031]","[0.4721415936946869, 0.7148313522338867]","[0.5028493404388428, 0.6264826059341431]","[0.576493501663208, 0.5031395554542542]"
"[0.5718609690666199, 0.25907593965530396]","[0.4742337465286255, 0.2850313186645508]","[0.5353368520736694, 0.7222447395324707]","[0.4721280634403229, 0.7149222493171692]","[0.49820569157600403, 0.608381986618042]","[0.5776176452636719, 0.5029171705245972]"
"[0.5718511939048767, 0.25863632559776306]","[0.4741964638233185, 0.28510621190071106]","[0.5353592038154602, 0.7217345833778381]","[0.47231462597846985, 0.7151742577552795]","[0.49529924988746643, 0.5901005268096924]","[0.5792146325111389, 0.502997875213623]"
"[0.5721527934074402, 0.25862839818000793]","[0.47423192858695984, 0.2876364290714264]","[0.5356870889663696, 0.7216662764549255]","[0.47276660799980164, 0.7153347134590149]","[0.4911866784095764, 0.5699610114097595]","[0.580139696598053, 0.5039868354797363]"
"[0.5727693438529968, 0.25862786173820496]","[0.47442349791526794, 0.2887604236602783]","[0.5362520813941956, 0.721531093120575]","[0.47276994585990906, 0.7153880596160889]","[0.4895222783088684, 0.5595143437385559]","[0.5808590054512024, 0.5056346654891968]"
"[0.5732207894325256, 0.2593518793582916]","[0.47562411427497864, 0.2901085317134857]","[0.5363951921463013, 0.7248815298080444]","[0.47277480363845825, 0.7228051424026489]","[0.4846579134464264, 0.5386428236961365]","[0.5807054042816162, 0.513105034828186]"
"[0.573790431022644, 0.25997045636177063]","[0.4776640236377716, 0.29121917486190796]","[0.5366019010543823, 0.7265837788581848]","[0.47278642654418945, 0.7256248593330383]","[0.4836292862892151, 0.5192052721977234]","[0.5807458758354187, 0.5153871774673462]"
"[0.5741972327232361, 0.26070940494537354]","[0.47943225502967834, 0.2920564115047455]","[0.5365319848060608, 0.727236270904541]","[0.47304922342300415, 0.7263059616088867]","[0.48262014985084534, 0.5025167465209961]","[0.5807527303695679, 0.5189733505249023]"
"[0.5742155909538269, 0.26172083616256714]","[0.4816085398197174, 0.2922011613845825]","[0.5364037156105042, 0.7278046011924744]","[0.47331953048706055, 0.726585865020752]","[0.4825579822063446, 0.47832629084587097]","[0.5809301137924194, 0.5239534378051758]"
"[0.5742267370223999, 0.2623734772205353]","[0.48504626750946045, 0.2916647791862488]","[0.535790205001831, 0.7288388013839722]","[0.4739099442958832, 0.7267398238182068]","[0.4830858111381531, 0.45986828207969666]","[0.5810279250144958, 0.5286771655082703]"
"[0.5742934942245483, 0.26303285360336304]","[0.4858347773551941, 0.29154446721076965]","[0.5355626940727234, 0.731112539768219]","[0.4740322232246399, 0.7276537418365479]","[0.4827958941459656, 0.44433555006980896]","[0.5809939503669739, 0.5329405069351196]"
"[0.5743190050125122, 0.26374492049217224]","[0.48541128635406494, 0.2922251522541046]","[0.5355737209320068, 0.7338544726371765]","[0.47413015365600586, 0.7297391295433044]","[0.48375776410102844, 0.4322163462638855]","[0.5808674097061157, 0.53448486328125]"
"[0.5744759440422058, 0.2642460763454437]","[0.4852432906627655, 0.2929876744747162]","[0.5355635285377502, 0.7353869080543518]","[0.4743131697177887, 0.7311379909515381]","[0.4843110740184784, 0.4192821681499481]","[0.5807313919067383, 0.5346591472625732]"
"[0.5747474431991577, 0.26477503776550293]","[0.48446357250213623, 0.2935529947280884]","[0.5354787707328796, 0.7360426783561707]","[0.47465842962265015, 0.731675386428833]","[0.4846911132335663, 0.4076622724533081]","[0.5797549486160278, 0.5356318354606628]"
"[0.574929416179657, 0.26503485441207886]","[0.4832301735877991, 0.29349851608276367]","[0.5354751944541931, 0.7373544573783875]","[0.4746929705142975, 0.7326745986938477]","[0.4849700629711151, 0.3973750174045563]","[0.5789172649383545, 0.5363067984580994]"
"[0.5750429034233093, 0.2650972604751587]","[0.4810069501399994, 0.29302507638931274]","[0.5354760885238647, 0.7373790740966797]","[0.474697083234787, 0.7326436042785645]","[0.48526784777641296, 0.3898884952068329]","[0.5784292221069336, 0.535888135433197]"
"[0.5751116275787354, 0.2651331424713135]","[0.4795996844768524, 0.29186442494392395]","[0.5356168150901794, 0.7367320656776428]","[0.4748360514640808, 0.7317343354225159]","[0.4860559105873108, 0.3785390853881836]","[0.5766381025314331, 0.5355220437049866]"
"[0.5749680399894714, 0.26513174176216125]","[0.4797934889793396, 0.2900940477848053]","[0.5355329513549805, 0.7367182374000549]","[0.47567981481552124, 0.7317151427268982]","[0.4885442554950714, 0.36885616183280945]","[0.5761373043060303, 0.5353120565414429]"
"[0.5744055509567261, 0.2651514708995819]","[0.48025351762771606, 0.2866280674934387]","[0.5350280404090881, 0.7370589375495911]","[0.4763530194759369, 0.7317139506340027]","[0.4908257722854614, 0.36013299226760864]","[0.5759574770927429, 0.5351457595825195]"
"[0.5736801624298096, 0.26540905237197876]","[0.48117274045944214, 0.2807003855705261]","[0.5343082547187805, 0.7366388440132141]","[0.47653892636299133, 0.7302663922309875]","[0.49398037791252136, 0.3518565595149994]","[0.5752809643745422, 0.5349559187889099]"
"[0.5724055171012878, 0.2655555307865143]","[0.4819539189338684, 0.27728331089019775]","[0.5333245396614075, 0.7366240620613098]","[0.47707775235176086, 0.7294805645942688]","[0.4970599114894867, 0.3500094413757324]","[0.5748382806777954, 0.5348106026649475]"
"[0.5712803602218628, 0.2655964493751526]","[0.48423776030540466, 0.27638208866119385]","[0.5312424302101135, 0.7367526292800903]","[0.4777604937553406, 0.7294111251831055]","[0.4998416304588318, 0.34515494108200073]","[0.5740404725074768, 0.5345335602760315]"
"[0.5698696374893188, 0.26537320017814636]","[0.48669034242630005, 0.27467483282089233]","[0.5283591151237488, 0.7368081212043762]","[0.4791628122329712, 0.7292279005050659]","[0.5026646256446838, 0.3386286795139313]","[0.5735349655151367, 0.5338488221168518]"
"[0.5689283609390259, 0.2648950219154358]","[0.4880932867527008, 0.27395495772361755]","[0.5267859697341919, 0.7373061180114746]","[0.479801744222641, 0.7292773127555847]","[0.5044289231300354, 0.33219993114471436]","[0.5735319256782532, 0.5329655408859253]"
"[0.568549394607544, 0.2648974061012268]","[0.4879719316959381, 0.2742195427417755]","[0.5268768668174744, 0.7373540997505188]","[0.4799957275390625, 0.729343593120575]","[0.5085808634757996, 0.32985571026802063]","[0.5731232166290283, 0.5325732827186584]"
"[0.5685973763465881, 0.2649054527282715]","[0.4858003556728363, 0.27646270394325256]","[0.5270583629608154, 0.7370901107788086]","[0.4796792268753052, 0.7294138669967651]","[0.51284259557724, 0.3279515504837036]","[0.5731385946273804, 0.5325409770011902]"
"[0.568515956401825, 0.2650989592075348]","[0.484101265668869, 0.2810172140598297]","[0.5274467468261719, 0.7368128895759583]","[0.47955426573753357, 0.7297951579093933]","[0.5178343653678894, 0.3264952600002289]","[0.5729984641075134, 0.5325145125389099]"
"[0.5685487389564514, 0.26511770486831665]","[0.4815974235534668, 0.2834828197956085]","[0.527926504611969, 0.7363678216934204]","[0.4787786602973938, 0.7300342917442322]","[0.519554078578949, 0.3253113329410553]","[0.572666585445404, 0.5323129296302795]"
"[0.5685650110244751, 0.2651389241218567]","[0.4799431562423706, 0.2853608727455139]","[0.5286622643470764, 0.7359293699264526]","[0.47834765911102295, 0.7300572991371155]","[0.5198121666908264, 0.324597030878067]","[0.5723864436149597, 0.5319297313690186]"
"[0.568548321723938, 0.26508742570877075]","[0.479881227016449, 0.28551825881004333]","[0.5288776159286499, 0.7346094846725464]","[0.4782755672931671, 0.7295210957527161]","[0.51959228515625, 0.32427242398262024]","[0.5716484785079956, 0.5319046974182129]"
"[0.5680408477783203, 0.2649185359477997]","[0.4815388023853302, 0.283862829208374]","[0.5287778377532959, 0.7349694967269897]","[0.478525847196579, 0.7295219898223877]","[0.5186488628387451, 0.326518714427948]","[0.5716485381126404, 0.5318244099617004]"
"[0.5678707957267761, 0.26475703716278076]","[0.48535147309303284, 0.28098583221435547]","[0.5284990668296814, 0.735625147819519]","[0.4794232249259949, 0.7295177578926086]","[0.516372561454773, 0.32685428857803345]","[0.5717340707778931, 0.5315992832183838]"
"[0.5678819417953491, 0.2650620639324188]","[0.4859723448753357, 0.2791685163974762]","[0.5286756157875061, 0.7352726459503174]","[0.47968754172325134, 0.7283279299736023]","[0.5117196440696716, 0.3414849638938904]","[0.5722980499267578, 0.5319082140922546]"
"[0.568975567817688, 0.26566794514656067]","[0.48514655232429504, 0.27919867634773254]","[0.5297940373420715, 0.7352723479270935]","[0.47897157073020935, 0.7283186316490173]","[0.5031036138534546, 0.3529161512851715]","[0.5736584067344666, 0.5323476195335388]"
"[0.5711630582809448, 0.2659647762775421]","[0.4835478961467743, 0.2798963487148285]","[0.5317471027374268, 0.7351909875869751]","[0.47866013646125793, 0.7283119559288025]","[0.4959861636161804, 0.3652922213077545]","[0.5739588141441345, 0.5325862765312195]"
"[0.5735647678375244, 0.2663346230983734]","[0.4809795916080475, 0.28215083479881287]","[0.5336408615112305, 0.7336366772651672]","[0.47796592116355896, 0.7274687886238098]","[0.49134787917137146, 0.38273340463638306]","[0.5740591287612915, 0.5330366492271423]"
"[0.5746501088142395, 0.2669335603713989]","[0.4809073209762573, 0.28513580560684204]","[0.5346890687942505, 0.7336453795433044]","[0.4777522385120392, 0.7275065779685974]","[0.48649874329566956, 0.3950119912624359]","[0.5743119716644287, 0.5342820286750793]"
"[0.5756924152374268, 0.26703494787216187]","[0.48108091950416565, 0.28707531094551086]","[0.5353534817695618, 0.7337271571159363]","[0.47763898968696594, 0.728034257888794]","[0.4845605492591858, 0.40845227241516113]","[0.574891984462738, 0.5349817872047424]"
"[0.5759969353675842, 0.2670383155345917]","[0.4821568727493286, 0.2886269986629486]","[0.5355609059333801, 0.7338185906410217]","[0.47752347588539124, 0.728603720664978]","[0.48391276597976685, 0.42117542028427124]","[0.5755455493927002, 0.5352531671524048]"
"[0.5761050581932068, 0.26704108715057373]","[0.4830568730831146, 0.2887183725833893]","[0.5361114144325256, 0.7334371209144592]","[0.47746118903160095, 0.7285568714141846]","[0.48430538177490234, 0.4288625717163086]","[0.5769646167755127, 0.5355643630027771]"
"[0.5760748386383057, 0.26703453063964844]","[0.48419320583343506, 0.288260281085968]","[0.5363265872001648, 0.7325279116630554]","[0.4773682653903961, 0.727442741394043]","[0.4848426878452301, 0.4408445954322815]","[0.57868891954422, 0.5355786681175232]"
"[0.5761585235595703, 0.26699236035346985]","[0.4850901961326599, 0.2879219055175781]","[0.5367255806922913, 0.7312004566192627]","[0.47736313939094543, 0.7265775203704834]","[0.48346152901649475, 0.44650933146476746]","[0.5793620944023132, 0.5353797078132629]"
"[0.5763059258460999, 0.2669779658317566]","[0.48586174845695496, 0.2878815829753876]","[0.536900520324707, 0.7310160994529724]","[0.4772190749645233, 0.7265617251396179]","[0.4829144775867462, 0.4566498100757599]","[0.5794481039047241, 0.5348079204559326]"
"[0.5766934752464294, 0.26697689294815063]","[0.4875417947769165, 0.28782981634140015]","[0.5373717546463013, 0.7310232520103455]","[0.4772140681743622, 0.7266528606414795]","[0.4829331636428833, 0.4646369218826294]","[0.580163836479187, 0.5343209505081177]"
"[0.5769312381744385, 0.2667543590068817]","[0.4884732663631439, 0.28732776641845703]","[0.5378062725067139, 0.7310192584991455]","[0.4772433340549469, 0.7265984416007996]","[0.4828677773475647, 0.4658972918987274]","[0.5809059739112854, 0.5337039232254028]"
"[0.5770185589790344, 0.2662917375564575]","[0.48857805132865906, 0.28722724318504333]","[0.538241446018219, 0.7300316691398621]","[0.47743865847587585, 0.7254411578178406]","[0.4826031029224396, 0.4752187728881836]","[0.5813449621200562, 0.5325496196746826]"
"[0.5774350762367249, 0.2662799656391144]","[0.48855823278427124, 0.28803735971450806]","[0.5392692685127258, 0.7298473715782166]","[0.4774938225746155, 0.7255156636238098]","[0.48283669352531433, 0.5019580125808716]","[0.5813331007957458, 0.530286967754364]"
"[0.5777984857559204, 0.26628029346466064]","[0.4882035553455353, 0.28865301609039307]","[0.5403624773025513, 0.7299890518188477]","[0.4774857759475708, 0.7259177565574646]","[0.4829660654067993, 0.5147798657417297]","[0.5812980532646179, 0.5284253358840942]"
"[0.5780685544013977, 0.2660435140132904]","[0.48731479048728943, 0.2888059914112091]","[0.5410146117210388, 0.7300065755844116]","[0.47732511162757874, 0.7262314558029175]","[0.4833127558231354, 0.5236356854438782]","[0.5813097357749939, 0.5255603194236755]"
"[0.5782970190048218, 0.26603958010673523]","[0.4848504066467285, 0.2897704839706421]","[0.5414407253265381, 0.729999303817749]","[0.4773153066635132, 0.7263973951339722]","[0.4834246039390564, 0.5356605648994446]","[0.5813220143318176, 0.5243356227874756]"
"[0.5783714652061462, 0.2658578157424927]","[0.48306804895401, 0.2898978888988495]","[0.5414283871650696, 0.7289183735847473]","[0.47744643688201904, 0.7253197431564331]","[0.48367640376091003, 0.5494049787521362]","[0.5814262628555298, 0.5225957036018372]"
"[0.5783761739730835, 0.26518669724464417]","[0.4804387092590332, 0.2898555397987366]","[0.541637122631073, 0.7273946404457092]","[0.47808149456977844, 0.7237172722816467]","[0.4866182208061218, 0.5636517405509949]","[0.5819036960601807, 0.5179027915000916]"
"[0.578258752822876, 0.26425954699516296]","[0.47891509532928467, 0.2892022430896759]","[0.5415335893630981, 0.7220528721809387]","[0.47850659489631653, 0.7193350195884705]","[0.48972031474113464, 0.572817325592041]","[0.5824304223060608, 0.5140071511268616]"
"[0.5782738924026489, 0.2639065384864807]","[0.4782988429069519, 0.28895333409309387]","[0.5415114760398865, 0.7216178774833679]","[0.47917965054512024, 0.7186464667320251]","[0.4898369610309601, 0.5758437514305115]","[0.5824280381202698, 0.5133195519447327]"
"[0.5782429575920105, 0.26347529888153076]","[0.4780064821243286, 0.28686991333961487]","[0.541458010673523, 0.7212974429130554]","[0.4793379604816437, 0.7178371548652649]","[0.490558922290802, 0.590732991695404]","[0.5824418663978577, 0.5116855502128601]"
"[0.5782262086868286, 0.2634361684322357]","[0.47794243693351746, 0.28583329916000366]","[0.5412665009498596, 0.7225391864776611]","[0.4793337285518646, 0.7179284691810608]","[0.4909796118736267, 0.6051419973373413]","[0.5824011564254761, 0.5115251541137695]"
"[0.5782116055488586, 0.26333242654800415]","[0.47751104831695557, 0.2854975759983063]","[0.5411346554756165, 0.7228264808654785]","[0.47930219769477844, 0.7180662751197815]","[0.49446403980255127, 0.6261771321296692]","[0.5821096897125244, 0.5097570419311523]"
"[0.5782797932624817, 0.26307547092437744]","[0.47640460729599, 0.2854033410549164]","[0.5411115884780884, 0.7228436470031738]","[0.47777268290519714, 0.7167358994483948]","[0.5004664063453674, 0.6444891691207886]","[0.5814740657806396, 0.5074669718742371]"
"[0.5782659649848938, 0.2629542946815491]","[0.47546833753585815, 0.2843519151210785]","[0.541131317615509, 0.721858561038971]","[0.4769408106803894, 0.7137179970741272]","[0.5092372298240662, 0.6685459613800049]","[0.5804301500320435, 0.5064974427223206]"
"[0.5782638788223267, 0.26294752955436707]","[0.4744284749031067, 0.28433191776275635]","[0.5411275029182434, 0.7227122783660889]","[0.475706547498703, 0.7138549089431763]","[0.5143008828163147, 0.6867380142211914]","[0.578831136226654, 0.5068277716636658]"
"[0.5782620310783386, 0.263063907623291]","[0.474010169506073, 0.2843322157859802]","[0.5414745807647705, 0.7247269153594971]","[0.4756017327308655, 0.7147787809371948]","[0.5176974534988403, 0.6998205780982971]","[0.5771108269691467, 0.5068898797035217]"
"[0.5782575011253357, 0.2632906138896942]","[0.47393354773521423, 0.2843455374240875]","[0.5415266156196594, 0.72635418176651]","[0.47562286257743835, 0.7162208557128906]","[0.51902836561203, 0.7098882794380188]","[0.5748396515846252, 0.5079248547554016]"
"[0.5782554745674133, 0.2635800540447235]","[0.4738256633281708, 0.2843894064426422]","[0.541589617729187, 0.7278185486793518]","[0.47563570737838745, 0.7175807356834412]","[0.5194119215011597, 0.7117629051208496]","[0.5736044645309448, 0.5090148448944092]"
"[0.578280508518219, 0.2640124261379242]","[0.4738224148750305, 0.28445300459861755]","[0.541729211807251, 0.7289873361587524]","[0.4759390652179718, 0.7184781432151794]","[0.5212952494621277, 0.7164376974105835]","[0.5728554129600525, 0.5095623135566711]"
"[0.5784234404563904, 0.264598548412323]","[0.47406086325645447, 0.2847073972225189]","[0.5423393845558167, 0.731897234916687]","[0.47611647844314575, 0.7207397222518921]","[0.5229870676994324, 0.7290627360343933]","[0.5720462203025818, 0.5126674175262451]"
"[0.578535795211792, 0.26476290822029114]","[0.47407856583595276, 0.2852397561073303]","[0.5425243973731995, 0.7348083853721619]","[0.4758937656879425, 0.7230291962623596]","[0.52556312084198, 0.7375296950340271]","[0.5712900161743164, 0.5139363408088684]"
"[0.5786014199256897, 0.26488515734672546]","[0.4740961194038391, 0.28564006090164185]","[0.5421091914176941, 0.7357938885688782]","[0.4753449261188507, 0.7235711812973022]","[0.5284088253974915, 0.7444155812263489]","[0.570896565914154, 0.5148164629936218]"
"[0.5786600708961487, 0.26489338278770447]","[0.474118173122406, 0.28572016954421997]","[0.542132556438446, 0.735295295715332]","[0.4753314256668091, 0.7233477234840393]","[0.5337168574333191, 0.7439648509025574]","[0.5710051655769348, 0.5148200988769531]"
"[0.5786588191986084, 0.264924556016922]","[0.4741803705692291, 0.28566262125968933]","[0.5417153835296631, 0.7339816093444824]","[0.47526708245277405, 0.7231593728065491]","[0.5389122366905212, 0.7471243739128113]","[0.5710874199867249, 0.5149896740913391]"
"[0.5786429643630981, 0.26494815945625305]","[0.47435662150382996, 0.28589072823524475]","[0.5395510792732239, 0.7340083718299866]","[0.4749988913536072, 0.7237415313720703]","[0.5412806868553162, 0.7593420743942261]","[0.5709558129310608, 0.5172628164291382]"
"[0.5787016153335571, 0.2649713456630707]","[0.47448769211769104, 0.2866024374961853]","[0.5395854711532593, 0.7339573502540588]","[0.47502416372299194, 0.7237351536750793]","[0.5467689037322998, 0.7605358362197876]","[0.570987343788147, 0.5173898935317993]"
"[0.5787173509597778, 0.26497265696525574]","[0.4748215675354004, 0.28739628195762634]","[0.5395896434783936, 0.7340525984764099]","[0.4750606119632721, 0.7240427136421204]","[0.5491558313369751, 0.7622295618057251]","[0.5710250735282898, 0.5174129605293274]"
"[0.5787212252616882, 0.26498061418533325]","[0.4750971496105194, 0.2879573106765747]","[0.5395893454551697, 0.7341760396957397]","[0.47509220242500305, 0.7243167161941528]","[0.5499651432037354, 0.7627905607223511]","[0.571054995059967, 0.5174627900123596]"
"[0.5787210464477539, 0.2649892568588257]","[0.47554054856300354, 0.28840625286102295]","[0.5394046902656555, 0.734069287776947]","[0.4752618670463562, 0.7241594195365906]","[0.5503911972045898, 0.7620742917060852]","[0.5710801482200623, 0.5176610350608826]"
